北海道,5400
青森,1321
岩手,1284
宮城,2328
秋田,1037
山形,1131
福島,1935
茨城,2919
栃木,1980
群馬,1976
埼玉,7239
千葉,6197
東京,13390
神奈川,9096
新潟,2313
富山,1070
石川,1156
福井,790
山梨,841
長野,2109
岐阜,2041
静岡,3705
愛知,7455
三重,1825
滋賀,1416
京都,2610
大阪,8836
兵庫,5541
奈良,1376
和歌山,971
鳥取,574
島根,697
岡山,1924
広島,2833
山口,1408
徳島,764
香川,981
愛媛,1395
高知,738
福岡,5091
佐賀,835
長崎,1386
熊本,1794
大分,1171
宮崎,1114
鹿児島,1668
沖縄,1421
